Unnamed: 0_nan_nan_nan_nan,Mmus_C3H-HeJ_KDN_BSL_0days,Mmus_C3H-HeJ_KDN_FLT_25days,Mmus_C3H-HeJ_KDN_FLT_75days,Mmus_C3H-HeJ_KDN_GC_25days,Mmus_C3H-HeJ_KDN_GC_75days,Mmus_C3H-HeJ_KDN_VIV_25days,Mmus_C3H-HeJ_KDN_VIV_75days,Mmus_C57-6J_KDN_BSL_0days,Mmus_C57-6J_KDN_FLT_25days,Mmus_C57-6J_KDN_FLT_75days,Mmus_C57-6J_KDN_GC_25days,Mmus_C57-6J_KDN_GC_75days,Mmus_C57-6J_KDN_VIV_25days,Mmus_C57-6J_KDN_VIV_75days
ENSMUSG00000000325,1967.4343828968854,2166.9025580867255,2472.1286317837253,1725.0061338530152,1501.902629667883,1884.739804145312,1791.1829478454893,2423.0320711258382,2641.3843942946787,3118.322922047576,2674.836186277286,1827.8227024979856,2282.8137406676483,2219.2183193408637
ENSMUSG00000000326,10366.78823209615,10228.453449040742,11479.511176606256,10756.798646896892,9713.847208719944,10375.750385296025,10602.47905106172,8489.918811648231,8569.957415120147,9045.022085484194,8178.847818102088,6537.38432630315,7423.592731975215,7467.616085972588
ENSMUSG00000000339,1133.2811187755005,1000.8793417846434,1051.2074633485556,1090.158026497908,1245.491869661952,1070.9216176678035,1212.2372062263714,1144.1828099810843,1074.6597818043012,958.7047371762192,1076.292230261586,1125.7818196207475,1090.0530138267352,1076.9408059170257
ENSMUSG00000000340,6787.397087669717,6722.171333934163,6518.498428669847,7019.408053714945,7308.036553037522,6958.495377675225,7364.190716027682,6756.999233341231,6531.29434689952,6165.578390577186,6823.765481142934,7217.298277589465,6567.2486724418895,6994.456350996331
ENSMUSG00000000346,9651.954052369078,8641.469118302271,9080.503912704744,9278.107713732908,9421.323634770102,8456.869331515938,9296.755397182564,10136.07569130991,8845.67560818521,8491.640814450318,9518.743372608766,9490.080507796218,9121.269011568267,9081.384173746856
ENSMUSG00000000355,834.8322225970268,671.2517648878163,726.9542427018714,1068.3869473236139,1154.5221983448587,758.1079391938543,918.1081571860892,788.2642166298194,903.1377604344746,624.2323033440806,763.8814716780748,849.1273454810428,789.3060497144052,832.5314642034518
ENSMUSG00000000359,289.4736309132297,315.2709965477718,267.5111869252936,272.86325806069266,224.18589772793524,336.92200667753895,258.6048458428406,269.38065894514267,264.2098281408038,285.3917482264078,314.8656460684948,229.0609600859035,250.2747859056924,276.218040063027
ENSMUSG00000000374,4312.136161315806,4336.818648732906,4200.787918114892,3713.120272227734,3539.9490735956074,4140.559979185334,4076.6462865487656,3984.1839475042702,3682.4695527827816,3991.877125351406,4067.525861129736,3614.89626771499,3749.18240056051,3897.577189583824
ENSMUSG00000000378,388.18891458374685,335.35545666718457,409.01138766858514,349.19258830925855,263.02406725200524,357.45526320560964,369.3923639685753,504.5835411236741,467.88468190323465,457.947352776641,548.5798420966692,389.4216052137297,479.4789325147734,453.53896299007056
ENSMUSG00000000384,1173.981196810691,1168.7539276811353,1052.0062627265631,973.5588905890384,780.7593937950676,988.0352580321011,923.3639935375313,1094.1213213295737,907.6628735455319,889.4419305703562,1039.1404834299763,772.7920370839676,836.1871443431776,783.1660301795742
